person_party_id,start_dt,end_dt,next_start_dt,program_start_date,program_end_date,program_exit_code,cms_user_ext_id,final_term,credential,term_length,prior_cum_credits_not_completed,full_part_time,term_attempted_credits,on_campus,delta_unmet_need,unmet_need,prior_term_earned_credits,prior_total_credit_hours,high_school_gpa,term_start_month,prior_term_start_month,prior_full_part_time,primary_major,prior_term_fraction_completed_credits,transfer,prior_term_gpa,admitted_zip_code,prior_cumulative_gpa,time_at_institution,prediction,outcome
1061574,1/29/14,5/15/14,,9/1/10,5/15/14,1,302155,TRUE,BA,106,-0.75,Full-time,13,FALSE,,2836,3,149.75,3.91,Jan,Jan,Full-time,ACCT,1,FALSE,4,46550,3.579,3.41,0.957342821,1
1064115,8/26/15,12/11/15,1/4/16,8/26/15,,,408886,FALSE,BA,107,,Full-time,15.5,TRUE,,0,,,3.9,Aug,Unknown,Unknown,PSYC,,FALSE,,46350,,0,0.992979085,1
1062498,8/27/14,12/12/14,1/6/15,8/28/13,,,378362,FALSE,BA,107,0,Full-time,16.5,FALSE,200,200,17,44.5,3.813,Aug,Jan,Full-time,ART,1,FALSE,3.824,46962,3.716,0.99,0.989292375,1
1063300,8/26/15,12/11/15,1/27/16,8/27/14,3/31/16,2,393941,FALSE,BS,107,0,Full-time,14.5,TRUE,0,0,13,29,2.428,Aug,Jan,Full-time,ENVSC,1,FALSE,1.069,46506,1.779,0.99,0.927385322,1
1063155,1/29/15,5/14/15,8/26/15,8/28/13,4/8/15,2,389868,FALSE,BA,105,-0.25,Full-time,15,TRUE,,0,3.5,51.75,3.511,Jan,Jan,Full-time,SPMT,1,FALSE,3.143,46714,3.017,1.42,0.967013545,1
1063476,1/6/15,1/26/15,,8/27/14,4/13/15,4,397588,TRUE,BS,20,2,Full-time,3,FALSE,,,10,10,2.481,Jan,Aug,Full-time,BIOCH,0.83,FALSE,1.517,45424,1.517,0.36,0.838349242,0
1062840,8/27/14,12/12/14,1/29/15,4/4/13,5/22/15,4,384159,FALSE,BS,107,3,Part-time,3,FALSE,759,759,3.5,99.5,,Aug,Jan,Part-time,EXFT,0.53,TRUE,1.369,46563,2.813,1.99,0.87912499,1
1062520,8/28/13,12/13/13,1/3/14,8/28/13,1/15/14,2,378581,FALSE,BS,107,,Full-time,15,TRUE,,0,,,3.43,Aug,Unknown,Unknown,BIOCH,,FALSE,,48910,,0,0.995393614,1
1061951,8/28/13,12/13/13,1/29/14,3/19/12,5/15/14,1,367258,FALSE,BA,107,-0.5,Full-time,14,FALSE,0,0,15.5,98,4.114,Aug,Jan,Full-time,MRKT,1,FALSE,3.535,43512,3.506,2.99,0.996816544,1
1062856,1/29/15,5/14/15,5/19/15,8/28/13,3/26/15,2,384620,FALSE,BS,105,-0.25,Full-time,15,TRUE,,0,3,69.25,4.072,Jan,Jan,Full-time,ENG,1,FALSE,3.7,46807,3.779,1.42,0.952921392,1
